Index,True_Class,Pred_Class_Mean,Pred_Class_Mode,True_Vector,Mean_Vector,Mode_Vector,Std_Vector,VAE_Init,MAE_Mean,MSE_Mean,RMSE_Mean,R2_Mean,CosSim_Mean,SMAPE_Mean,MAE_Mode,MSE_Mode,RMSE_Mode,R2_Mode,CosSim_Mode,SMAPE_Mode
711,3,3,3,"[0.0, 0.0, 0.50521, 0.0, 0.0, 0.0, 0.0]","[0.01317924409121354, 0.010372875393361698, 0.5229372403193063, 0.0372718898305101, 0.025984270470000924, 0.025830270656227193, 0.030850686264588055]","[0.005555555555555556, 0.005555555555555556, 0.5388888888888889, 0.005555555555555556, 0.005555555555555556, 0.005555555555555556, 0.005555555555555556]","[0.021455205698475706, 0.021985245150478748, 0.02771552438445013, 0.07282206587227195, 0.0512495636382232, 0.05407490441669088, 0.05629126979573229]","[0.003047764301300049, 0.0010000000474974513, 0.5146523714065552, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0041899606585502625]",0.023030925289315402,0.0006112696966637531,0.024723868966319836,0.980441577679887,0.9928289512793033,171.92119793252851,0.009573174603174594,0.00018849324885361485,0.013729284353294416,0.9939688968949543,0.9996813087506043,172.35018333573282
2550,1,1,1,"[0.19540000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.172898822800968, 0.04191087074554188, 0.01076865905566742, 0.010829574405059073, 0.003713731564332332, 0.007522494966086695, 0.020097249672296164]","[0.17222222222222222, 0.011111111111111112, 0.0, 0.005555555555555556, 0.0, 0.0, 0.005555555555555556]","[0.05279022201667657, 0.07010222364358393, 0.028699003859121865, 0.030270647420583836, 0.006924878318229389, 0.01466228303550636, 0.040785963870914745]","[0.19369259476661682, 0.008999057114124298, 0.0010000000474974513, 0.0010000000474974513, 0.001023225486278534, 0.0010000000474974513, 0.001953713595867157]",0.01676339394400223,0.00042433527695442876,0.020599399917338095,0.9092378345290059,0.961171503158921,173.17413980217066,0.006485714285714289,0.00010319922398589077,0.010158701884881294,0.9779264521415421,0.9968927941457136,87.5156518510203
3165,4,4,4,"[0.0, 0.0, 0.0, 0.48497999999999997, 0.0, 0.0, 0.0]","[0.00983158834589941, 0.006850847058488497, 0.006991882638188426, 0.5111454128458218, 0.015865666660128796, 0.01719341189525707, 0.011752655862969636]","[0.005555555555555556, 0.0, 0.0, 0.5277777777777778, 0.005555555555555556, 0.005555555555555556, 0.005555555555555556]","[0.016029249231684785, 0.015342318101498942, 0.013627220051445023, 0.03206455914650299, 0.03365757306666712, 0.03074549782806259, 0.02382108914997687]","[0.0012917369604110718, 0.0010000000474974513, 0.0010000000474974513, 0.5015701651573181, 0.0010000000474974513, 0.0029807724058628082, 0.002475358545780182]",0.013521637900964814,0.00022322388543488713,0.014940678881325544,0.9922493551969653,0.9983240839190004,172.17906249578613,0.009288571428571436,0.0002793009389770729,0.016712299033259097,0.9903022816445115,0.9997784669888634,115.49310432272466
2219,2,2,2,"[0.0, 0.18897000000000003, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0060081357992929465, 0.1823997979297202, 0.03954270738160641, 0.007266186249852865, 0.0032689016571967543, 0.02325397444688346, 0.009869107069179156]","[0.0, 0.16111111111111112, 0.016666666666666666, 0.0, 0.0, 0.005555555555555556, 0.0]","[0.012388710292452894, 0.05229787151311509, 0.04797233315776925, 0.015716590068934538, 0.005605105960391591, 0.0385397445043731, 0.021906298009986617]","[0.0010000000474974513, 0.18007299304008484, 0.01447104662656784, 0.0010000000474974513, 0.0010000000474974513, 0.005056615918874741, 0.0010000000474974513]",0.013682744953470204,0.00033493153438223004,0.018301134784002603,0.9234024034808217,0.9671104468499606,171.93405157315328,0.007154444444444447,0.00015496566649029998,0.012448520654692267,0.9645599282908868,0.9941071967770384,59.41652524063584
3245,4,4,4,"[0.0, 0.0, 0.0, 0.45224, 0.0, 0.0, 0.0]","[0.0048678294211088255, 0.0050806794903503465, 0.013378025078182023, 0.47233522073193024, 0.014244933046383494, 0.04312184451427167, 0.020635533900211882]","[0.0, 0.0, 0.005555555555555556, 0.49444444444444446, 0.005555555555555556, 0.011111111111111112, 0.005555555555555556]","[0.007946644985172772, 0.010010299577390566, 0.02301822485869761, 0.03909613224229334, 0.030561965344888555, 0.0644214809575409, 0.04962064903077443]","[0.001102745532989502, 0.0010000000474974513, 0.0010000000474974513, 0.4662015438079834, 0.0010256953537464142, 0.004268620163202286, 0.0010000000474974513]",0.017346295168919786,0.0004457907671099873,0.02111375776857325,0.9821992642087025,0.9939664981483114,172.04955839739253,0.009997460317460323,0.0002853235019400359,0.016891521599312356,0.9886068338606276,0.9995584292483016,115.55946635475658
1649,7,7,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07818000000000003]","[0.01149103779369841, 0.01700064948033473, 0.00926169622005688, 0.009426468614480325, 0.04250033971079656, 0.08799828835975956, 0.25272972134894284]","[0.005555555555555556, 0.005555555555555556, 0.005555555555555556, 0.005555555555555556, 0.016666666666666666, 0.03333333333333333, 0.2]","[0.02028778443613867, 0.024936547252689054, 0.018239474467673832, 0.017959884124627797, 0.04593718977439397, 0.07894791887519824, 0.12874879816689058]","[0.0018678270280361176, 0.006597507745027542, 0.0010000000474974513, 0.0010000000474974513, 0.025073977187275887, 0.061417218297719955, 0.18422460556030273]",0.0503183145040099,0.0058018980303594135,0.07617019121913383,-6.752175376868916,0.9289400042104297,186.49955476310203,0.027720317460317456,0.002336065439858906,0.04833286086979443,-2.1213214859804803,0.9816153896685813,183.94051128252005
665,1,1,1,"[0.39551000000000003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4078552080512793, 0.009984065774167609, 0.007280535209488776, 0.020160507137068514, 0.012084072000582164, 0.01501295474792553, 0.013039659526430995]","[0.41111111111111115, 0.005555555555555556, 0.0, 0.005555555555555556, 0.005555555555555556, 0.005555555555555556, 0.005555555555555556]","[0.02467475068049522, 0.019548194812777357, 0.013814767303834264, 0.04457256704294288, 0.021441162100696683, 0.024745760792371764, 0.02508967676908617]","[0.3875327408313751, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0046730730682611465, 0.00258457288146019, 0.0010000000474974513]",0.012843857492420407,0.0001789977570166325,0.013379004335772991,0.9906550392544327,0.996708217603154,171.8676248335504,0.006196984126984129,5.6816522222222266e-05,0.007537673528498184,0.9970337719381758,0.9995437747834997,143.40975179039037
2522,4,4,3,"[0.0, 0.0, 0.0, 0.060460000000000014, 0.0, 0.0, 0.0]","[0.00260158684808255, 0.004983873251420071, 0.036831262594211094, 0.04161115754950126, 0.004696019434305951, 0.003861685701353843, 0.003825908647369492]","[0.0, 0.0, 0.02777777777777778, 0.02777777777777778, 0.0, 0.0, 0.0]","[0.004790069309654263, 0.00958970119346875, 0.0191873220748053, 0.024352497918270575, 0.006834415499510253, 0.0067377882023243515, 0.009024629033725164]","[0.0010000000474974513, 0.0010000000474974513, 0.04271359369158745, 0.04165436327457428, 0.004758790135383606, 0.0028182528913021088, 0.0010000000474974513]",0.010807025561034536,0.00025643297209760436,0.016013524661910142,0.42709526733904135,0.738916247713004,176.70467849600976,0.008637142857142859,0.0002628189410934746,0.01621169149390262,0.4128281790218351,0.7071067811865475,39.15394550798888
3030,5,5,5,"[0.0, 0.0, 0.0, 0.0, 0.41157, 0.0, 0.0]","[0.028212939923419694, 0.021364097414443596, 0.034936140507563745, 0.008941746529876308, 0.4056512678658568, 0.02194725211396998, 0.016876180082577224]","[0.005555555555555556, 0.005555555555555556, 0.016666666666666666, 0.005555555555555556, 0.40555555555555556, 0.005555555555555556, 0.005555555555555556]","[0.058176485532121715, 0.04060567928756678, 0.038751009357378616, 0.014068281569299453, 0.027024618558338234, 0.047561466195186024, 0.035866084265979564]","[0.0010000000474974513, 0.0010000000474974513, 0.02037898451089859, 0.0021820999681949615, 0.4274405539035797, 0.0010000000474974513, 0.0010000000474974513]",0.019742441243713386,0.00047920030023351296,0.02189064412559651,0.9768966748932468,0.9900640451994345,171.63550024828473,0.0072084126984126974,6.689604391534389e-05,0.008179000178221289,0.9967747911464607,0.9986890152617914,171.63887114159954
1115,3,3,3,"[0.0, 0.0, 0.19006, 0.0, 0.0, 0.0, 0.0]","[0.017232185655993083, 0.008055893171238736, 0.2185544091171952, 0.024724036828541872, 0.01906916802774318, 0.01363652518504632, 0.02114917742521833]","[0.005555555555555556, 0.005555555555555556, 0.22777777777777777, 0.011111111111111112, 0.005555555555555556, 0.005555555555555556, 0.005555555555555556]","[0.03139971395626962, 0.014342610967572533, 0.02715276827495221, 0.027504688591639893, 0.03434533648625304, 0.026289739192775437, 0.03345417162811425]","[0.004632281139492989, 0.0010000000474974513, 0.2095995545387268, 0.01755371503531933, 0.003367265686392784, 0.0013822205364704132, 0.0060152411460876465]",0.018908770772996675,0.0003974186684946123,0.019935362261434133,0.9101513318665553,0.9799953573435364,173.42097785529512,0.01094380952380952,0.00024291550546737205,0.015585746869090748,0.9450815063170548,0.9973337235915658,174.0076843067371
